county,case,lat,lon
Fulton,307,33.8109499,-84.7310481
Cobb,144,33.9123906,-84.6972676
Bartow ,98,34.2440988,-84.985769
Dougherty,193,31.5429887,-84.3597205
DeKalb,181,33.7927093,-84.3270543
Gwinnett,102,33.9600231,-84.3181545
Cherokee,46,34.2428643,-84.5984981
Fayette,19,33.4036378,-84.6445108
Clarke,32,33.9441951,-83.5292082
Clayton,46,33.5005916,-84.4914783
Lee,35,31.7689938,-84.2706385
Richmond,11,33.3859619,-82.2310033
Carroll,55,33.5865758,-85.1703404
Lowndes,16,30.8276641,-83.5322856
Henry,40,33.4724802,-84.2785358
Floyd,20,34.2748096,-85.265634
Hall,24,34.3058696,-84.1192568
Coweta,19,33.3513219,-84.8962861
Newton,15,33.5556431,-84.0049802
Paulding,12,33.9286041,-85.0268587
Gordon,12,34.509082,-85.0184651
Forsyth,19,34.1927884,-84.2323435
Troup,11,33.0366656,-85.098747
Terrell,6,31.7941452,-84.5708394
Glynn,6,31.2215288,-81.7627215
Worth,7,31.5836698,-84.1213062
Polk,10,33.9998606,-85.3123828
Laurens,7,32.4312068,-83.2100234
Early,10,31.3765383,-84.9587256
Heard,1,33.2791778,-85.1161361
Oconee,10,33.8320577,-83.6015497
Turner,2,31.7097169,-83.7672869
Bibb,10,32.8066395,-83.8313174
Monroe,3,33.0254067,-84.0551818
Randolph,3,31.7751648,-84.8872959
Houston,9,32.4870656,-83.9498473
Rockdale,16,33.6558755,-84.1887723
Douglas,27,33.689703,-84.8846812
Dawson,2,34.4758874,-84.2918991
Muscogee,8,32.4740307,-84.9775752
Charlton,1,30.7152281,-82.4366806
Peach,6,32.5658912,-83.9996748
Spalding,11,33.2655664,-84.4391162
Barrow,6,34.0109181,-83.8433347
Effingham,4,32.3453413,-81.6139433
Miller,2,31.1636817,-84.869848
Whitfield,6,34.8017812,-85.1298821
Chatham,10,31.9710868,-81.351756
Columbia,10,33.5275606,-82.3756279
Tift,11,31.4620157,-83.6427911
Unknown,217,31.472484,-81.027239
Pickens,4,34.4435055,-84.4995419
Sumter,10,32.0771487,-84.2578416
Lamar,3,33.0504451,-84.1869511
Baldwin,2,33.0581947,-83.3767553
Lincoln,3,33.8105078,-82.5722137
Lumpkin,4,34.527836,-84.017919
Butts,3,33.2876561,-84.008061
Chattooga,1,34.4742654,-85.3830821
Twiggs,2,32.6867147,-83.3595676
Clinch,1,31.0413982,-82.770748
Coffee,3,31.5118862,-82.8942771
Tattnall,2,32.0655552,-82.2023614
Catoosa,1,34.9113369,-85.1771685
Madison,3,34.1279503,-83.2381266
Morgan,1,33.5806701,-83.5120246
Pierce,1,31.297628,-82.3323931
Washington,2,32.9842382,-82.8420655
Burke,3,33.0949232,-82.0493385
Harris,1,32.7873585,-84.9045071
Liberty,1,31.8747992,-81.64466
Walton,1,33.7781427,-83.7941236
Stephens,1,34.574081,-83.4216966
Pulaski,1,32.2484974,-83.4608698
Meriwether,3,33.0359618,-84.7321711
Macon,1,32.3019958,-84.0433236
Jasper,2,33.3069437,-83.7069025
Irwin,3,31.6042318,-83.2849291
Greene,1,33.564243,-83.213461
Colquitt,4,31.148152,-83.8272431
Camden,2,30.9572853,-81.7273897
Ben Hill,2,31.7220409,-83.3197009
Crisp,4,31.9169717,-83.9254823
Bryan,3,31.9384847,-81.3366541
Baker,1,31.3455552,-84.4812548
Mitchell,14,31.2498763,-84.2432471
Seminole,2,31.0403778,-84.8968852
Fannin,2,34.8670726,-84.3366946
Telfair,1,31.9351788,-82.9480671
Wilkes,1,33.7637416,-82.8687134
White,1,34.6411092,-83.7623648
Thomas,3,30.8343417,-84.0114562
Taylor,1,32.5592902,-84.3821397
Jones,2,32.9986012,-83.5811601
Jackson,2,34.1222725,-83.6498217
Dodge,1,32.1889054,-83.2835786
Decatur,2,30.9053732,-84.6063261
Appling,1,30.9053732,-84.6063261
Ware,2,30.9258764,-82.652756
Long,1,31.7764678,-82.0169041
Toombs,1,32.1715359,-82.3339669
McDuffie,1,33.4695855,-82.531416
Haralson,1,33.8053808,-85.1845181
Franklin,1,34.3757117,-83.2478296
Calhoun,1,31.5374798,-84.6143248
Habersham,1,34.6086982,-83.5456091
Upson,2,32.8670541,-84.3459853
